player_id,player_name,midfielder_type,match_id,team_id,team_name,season,computed_at,bypasses_per_match,possessions_involved,possession_time_seconds,tempo_index,turnovers,passes_attempted,pass_completion_rate,progressive_passes,final_third_entries_by_pass,key_passes,under_pressure_pass_share,carries_attempted,progressive_carries,carry_distance_total,successful_dribbles,carries_leading_to_shot,carries_leading_to_key_pass,final_third_carries,penalty_area_carries,pressured_carry_success_rate,pressures_applied,ball_recoveries,interceptions,tackles_won,press_to_interception_chain,counterpress_actions,pressure_to_self_recovery,blocked_passes,blocked_shots,clearance_followed_by_recovery,pressures_to_turnover_rate,average_position_x,average_position_y,width_variance,zone_entries,pressured_touches,pressured_touch_retention_rate,third_man_runs,wall_pass_events,shot_creating_actions,expected_threat_added,fouls_committed,fouls_suffered,tactical_fouls,advantage_fouls_won,set_piece_involvements,corner_delivery_accuracy,set_piece_duels_won,defensive_set_piece_clearances,line_breaking_receipts,zone14_touches,penalty_area_deliveries,switches_completed,cross_accuracy,aerial_duels_contested,aerial_duel_win_rate,fifty_fiftys_won,sliding_tackles,sliding_tackle_success_rate,ball_receipts_total,central_lane_receipts,one_touch_passes,weak_foot_pass_share,pressured_retention_rate,secondary_shot_assists,expected_assists,xg_chain
4320,Neymar da Silva Santos Junior,5,18242,217,Barcelona,2014/2015,2025-12-13T18:44:45.068090,52,60.0,295.04,21.35,7.0,47.0,0.79,6.0,30.0,0.0,0.09,10.0,7.0,217.65,2.0,6.0,1.0,6.0,10.0,0.96,17.0,6.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.12,87.11,20.24,227.95,19.0,42.0,0.98,10.0,0.0,6.0,0.0,2.0,3.0,0.0,0.0,124.0,1.0,0.0,0.0,5.0,13.0,10.0,1.0,0.67,0.0,0.0,0.0,3.0,,61.0,6.0,20.0,0.2,0.98,3.0,,0.95
5203,Sergio Busquets i Burgos,0,18242,217,Barcelona,2014/2015,2025-12-13T18:44:45.814253,52,59.0,281.09,24.76,0.0,67.0,0.94,14.0,8.0,0.0,0.06,2.0,0.0,22.33,1.0,0.0,0.0,1.0,0.0,1.0,18.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.28,61.08,42.05,245.14,48.0,15.0,1.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,123.0,,0.0,0.0,4.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.5,53.0,14.0,14.0,0.15,1.0,0.0,,0.81
5216,Andrés Iniesta Luján,1,18242,217,Barcelona,2014/2015,2025-12-13T18:44:46.559698,52,43.0,305.3,21.62,0.0,56.0,0.89,17.0,23.0,1.0,0.04,6.0,5.0,96.62,1.0,1.0,1.0,5.0,2.0,1.0,8.0,5.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,70.4,22.37,112.2,22.0,20.0,1.0,12.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,97.0,,0.0,0.0,5.0,13.0,6.0,1.0,,0.0,0.0,0.0,1.0,1.0,51.0,6.0,9.0,0.07,1.0,1.0,,0.55
5470,Ivan Rakitić,1,18242,217,Barcelona,2014/2015,2025-12-13T18:44:47.304807,52,57.0,247.56,22.3,1.0,53.0,0.85,13.0,18.0,4.0,0.09,5.0,1.0,107.02,0.0,0.0,1.0,2.0,0.0,1.0,17.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,62.55,57.12,334.92,16.0,22.0,1.0,6.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,91.0,0.5,0.0,1.0,1.0,7.0,6.0,3.0,,1.0,0.0,0.0,2.0,,48.0,5.0,17.0,0.06,1.0,3.0,0.44,1.48
5503,Lionel Andrés Messi Cuccittini,4,18242,217,Barcelona,2014/2015,2025-12-13T18:44:48.044831,52,74.0,421.55,21.92,11.0,71.0,0.85,21.0,36.0,1.0,0.07,17.0,8.0,365.37,7.0,4.0,2.0,10.0,6.0,0.95,6.0,9.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.17,79.85,51.3,471.93,43.0,69.0,0.96,4.0,0.0,6.0,0.0,3.0,6.0,0.0,0.0,163.0,1.0,0.0,0.0,2.0,16.0,11.0,3.0,,0.0,0.0,0.0,1.0,,85.0,15.0,35.0,0.1,0.96,4.0,0.06,1.91
4320,Neymar da Silva Santos Junior,5,265835,217,Barcelona,2014/2015,2025-12-13T18:44:48.981470,47,71.0,307.72,22.62,6.0,55.0,0.73,6.0,30.0,3.0,0.38,13.0,4.0,266.96,4.0,5.0,2.0,8.0,6.0,0.98,13.0,4.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.08,83.83,22.32,208.35,28.0,96.0,0.98,11.0,0.0,7.0,0.0,1.0,7.0,0.0,1.0,124.0,,0.0,0.0,4.0,13.0,8.0,0.0,,0.0,0.0,0.0,0.0,,77.0,11.0,25.0,0.15,0.98,3.0,0.09,1.78
5203,Sergio Busquets i Burgos,0,265835,217,Barcelona,2014/2015,2025-12-13T18:44:49.980401,47,72.0,412.65,22.68,0.0,87.0,0.99,21.0,14.0,0.0,0.21,4.0,2.0,66.36,1.0,0.0,0.0,0.0,0.0,1.0,16.0,2.0,3.0,0.0,0.0,15.0,0.0,2.0,0.0,0.0,0.25,58.01,44.2,225.92,63.0,58.0,1.0,8.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,147.0,,0.0,0.0,8.0,13.0,1.0,2.0,,1.0,0.0,0.0,4.0,,80.0,19.0,20.0,0.12,1.0,0.0,,0.58
5470,Ivan Rakitić,1,265835,217,Barcelona,2014/2015,2025-12-13T18:44:50.980135,47,69.0,370.73,22.33,1.0,75.0,0.87,23.0,29.0,0.0,0.23,5.0,3.0,125.8,3.0,4.0,0.0,4.0,2.0,1.0,21.0,1.0,1.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.1,72.52,25.66,218.35,32.0,55.0,1.0,8.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,118.0,0.5,0.0,0.0,3.0,9.0,3.0,5.0,,1.0,0.0,0.0,0.0,,72.0,8.0,16.0,0.01,1.0,2.0,,0.77
5503,Lionel Andrés Messi Cuccittini,4,265835,217,Barcelona,2014/2015,2025-12-13T18:44:51.985511,47,71.0,406.6,22.28,7.0,71.0,0.93,17.0,43.0,1.0,0.35,16.0,11.0,281.33,8.0,6.0,4.0,11.0,7.0,0.89,10.0,5.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,84.22,55.65,287.09,59.0,117.0,0.9,12.0,0.0,6.0,0.0,0.0,4.0,0.0,1.0,149.0,,0.0,0.0,1.0,57.0,11.0,1.0,,0.0,0.0,0.0,1.0,1.0,95.0,18.0,26.0,0.09,0.9,3.0,0.01,1.95
20131,Xavier Hernández Creus,1,265835,217,Barcelona,2014/2015,2025-12-13T18:44:52.976655,47,68.0,440.71,21.65,0.0,87.0,0.9,24.0,31.0,1.0,0.26,12.0,6.0,203.18,3.0,2.0,2.0,3.0,1.0,1.0,17.0,9.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.12,69.07,51.58,232.15,28.0,72.0,1.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,137.0,0.67,0.0,0.0,2.0,30.0,8.0,0.0,,0.0,0.0,0.0,1.0,,77.0,9.0,19.0,0.09,1.0,1.0,,1.56
4320,Neymar da Silva Santos Junior,5,265866,217,Barcelona,2014/2015,2025-12-13T18:44:54.159601,47,56.0,321.77,21.26,4.0,51.0,0.78,6.0,30.0,1.0,0.14,11.0,3.0,209.44,3.0,3.0,1.0,8.0,6.0,0.97,10.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,82.53,19.52,162.03,24.0,56.0,0.96,14.0,1.0,4.0,0.0,1.0,6.0,0.0,3.0,108.0,,1.0,0.0,4.0,16.0,7.0,1.0,,0.0,0.0,0.0,1.0,1.0,69.0,8.0,17.0,0.18,0.96,2.0,0.06,3.42
5203,Sergio Busquets i Burgos,0,265866,217,Barcelona,2014/2015,2025-12-13T18:44:55.048691,47,67.0,387.27,21.07,0.0,73.0,0.97,13.0,21.0,0.0,0.14,5.0,4.0,96.38,1.0,2.0,2.0,2.0,1.0,1.0,18.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,3.0,0.17,62.11,36.26,208.45,64.0,45.0,1.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,101.0,,1.0,3.0,4.0,19.0,1.0,1.0,1.0,6.0,0.0,0.0,4.0,0.25,66.0,19.0,19.0,0.11,1.0,1.0,,2.7
5216,Andrés Iniesta Luján,1,265866,217,Barcelona,2014/2015,2025-12-13T18:44:55.930645,47,39.0,345.08,21.39,1.0,59.0,0.88,19.0,30.0,1.0,0.12,4.0,2.0,73.3,2.0,2.0,1.0,1.0,3.0,1.0,7.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.14,72.91,24.01,103.68,12.0,29.0,1.0,7.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,91.0,,0.0,1.0,4.0,7.0,6.0,2.0,1.0,0.0,0.0,0.0,1.0,,60.0,4.0,22.0,0.14,1.0,2.0,,1.02
5470,Ivan Rakitić,1,265866,217,Barcelona,2014/2015,2025-12-13T18:44:56.814869,47,61.0,332.19,23.12,0.0,70.0,0.84,9.0,29.0,4.0,0.04,6.0,1.0,100.83,0.0,1.0,0.0,1.0,2.0,1.0,14.0,4.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.07,71.23,53.95,295.7,24.0,16.0,1.0,11.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,91.0,0.43,0.0,1.0,5.0,8.0,9.0,2.0,1.0,0.0,0.0,0.0,1.0,,60.0,10.0,22.0,0.09,1.0,3.0,0.22,1.37
5503,Lionel Andrés Messi Cuccittini,4,265866,217,Barcelona,2014/2015,2025-12-13T18:44:57.696255,47,50.0,435.06,20.69,2.0,70.0,0.81,24.0,49.0,4.0,0.23,11.0,4.0,171.13,6.0,11.0,5.0,6.0,8.0,0.97,3.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,85.17,49.04,167.28,63.0,72.0,0.97,12.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,116.0,,0.0,0.0,0.0,92.0,14.0,0.0,,0.0,0.0,0.0,0.0,,91.0,22.0,38.0,0.12,0.97,4.0,0.33,2.96
3958,Pedro Eliezer Rodríguez Ledesma,4,265896,217,Barcelona,2014/2015,2025-12-13T18:44:58.786698,43,52.0,202.7,20.72,3.0,35.0,0.89,2.0,19.0,1.0,0.14,8.0,3.0,116.81,0.0,1.0,1.0,7.0,2.0,0.94,7.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,81.18,51.23,501.92,9.0,39.0,0.95,6.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0,89.0,1.0,0.0,1.0,3.0,6.0,5.0,0.0,1.0,2.0,0.0,0.0,1.0,,48.0,5.0,11.0,0.3,0.95,1.0,0.14,1.03
4320,Neymar da Silva Santos Junior,5,265896,217,Barcelona,2014/2015,2025-12-13T18:44:59.616793,43,58.0,338.24,19.34,5.0,49.0,0.76,6.0,30.0,2.0,0.22,13.0,8.0,273.59,6.0,3.0,2.0,11.0,11.0,0.92,9.0,3.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,83.18,21.95,181.01,23.0,70.0,0.93,12.0,0.0,3.0,0.0,3.0,5.0,1.0,2.0,117.0,,0.0,1.0,3.0,9.0,10.0,0.0,,0.0,0.0,0.0,0.0,,72.0,11.0,26.0,0.22,0.93,1.0,0.05,0.93
5506,Javier Alejandro Mascherano,0,265896,217,Barcelona,2014/2015,2025-12-13T18:45:00.445906,43,58.0,354.78,21.82,0.0,73.0,0.96,23.0,14.0,0.0,0.07,9.0,3.0,121.01,1.0,0.0,0.0,1.0,0.0,1.0,9.0,3.0,2.0,2.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,56.56,37.63,321.29,27.0,26.0,1.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,124.0,,0.0,1.0,2.0,5.0,0.0,4.0,,3.0,0.0,0.0,3.0,0.67,56.0,8.0,19.0,0.1,1.0,0.0,,1.1
6379,Sergi Roberto Carnicer,1,265896,217,Barcelona,2014/2015,2025-12-13T18:45:01.274778,43,36.0,244.28,19.65,1.0,39.0,0.97,7.0,23.0,1.0,0.1,10.0,3.0,176.48,1.0,3.0,0.0,4.0,4.0,0.89,7.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.14,75.03,25.5,189.51,16.0,26.0,0.92,7.0,0.0,7.0,0.0,0.0,1.0,0.0,1.0,92.0,,0.0,2.0,4.0,9.0,1.0,0.0,,3.0,0.0,0.0,1.0,,44.0,5.0,11.0,0.17,0.92,4.0,0.01,0.51
