,possessions_involved,possession_time_seconds,tempo_index,turnovers,passes_attempted,pass_completion_rate,progressive_passes,final_third_entries_by_pass,key_passes,under_pressure_pass_share,carries_attempted,progressive_carries,carry_distance_total,successful_dribbles,carries_leading_to_shot,carries_leading_to_key_pass,final_third_carries,penalty_area_carries,pressured_carry_success_rate,pressures_applied,ball_recoveries,interceptions,tackles_won,press_to_interception_chain,counterpress_actions,pressure_to_self_recovery,blocked_passes,blocked_shots,clearance_followed_by_recovery,pressures_to_turnover_rate,average_position_x,average_position_y,width_variance,zone_entries,pressured_touches,pressured_touch_retention_rate,third_man_runs,wall_pass_events,shot_creating_actions,expected_threat_added,fouls_committed,fouls_suffered,tactical_fouls,advantage_fouls_won,set_piece_involvements,corner_delivery_accuracy,set_piece_duels_won,defensive_set_piece_clearances,line_breaking_receipts,zone14_touches,penalty_area_deliveries,switches_completed,cross_accuracy,aerial_duels_contested,aerial_duel_win_rate,fifty_fiftys_won,sliding_tackles,sliding_tackle_success_rate,ball_receipts_total,central_lane_receipts,one_touch_passes,weak_foot_pass_share,pressured_retention_rate,secondary_shot_assists,expected_assists,xg_chain
possessions_involved,1.0,0.4781485474622761,0.13613772351608228,0.09774723220699366,0.6339751587042262,0.1343258170889489,0.5072584764739733,0.37630622495313476,0.23715370842233127,0.003809867234197597,0.5838538651363122,0.2443953522941126,0.3645154989324195,,,,0.16760409984431643,-0.0018196320771746031,0.2725591262044606,0.39262762222684017,0.33183127795178924,0.27886792896189005,0.22448113834463893,0.17985702359430777,0.3400183700621763,-0.012706096861231008,,,0.09580781790175397,0.10629640503529754,-0.208281449271288,0.02987381934490271,-0.04831029585896841,0.40575466884860945,0.36430161773247827,0.30950412406134636,0.29584571512599156,0.14327200236197035,0.08760020983627528,,0.2435697772840507,0.28996007451853495,,0.16246827408343104,0.6634216361435542,-0.2634701249894417,0.17767198900890208,0.11552571349698305,0.2924703092489725,0.21025486678266178,0.1870592641869659,0.1944115282670023,-0.06871084002646827,0.14705636605995562,,0.060945636028950194,,,0.5950472419301693,0.36769598884470145,0.374262002611711,,0.30950412406134636,0.10123767792216415,0.019442298914095393,0.2669159210219729
possession_time_seconds,0.4781485474622761,1.0,-0.43869344828488116,0.04597186852233201,0.886886650522001,0.3048324288303731,0.6223881112105356,0.6941080488464145,0.182244363488792,-0.14064210505604952,0.9125847108098442,0.4016385232197643,0.6754237790232644,,,,0.43321447983861894,0.03462580833297851,0.2815548600196403,-0.13928887563482595,0.29258883888601206,0.12503256531735063,0.08691527605828665,0.004532051244032623,0.05901005277906124,-0.057258666957107636,,,0.10101922790471776,0.08062412191955275,-0.04314332725355658,-0.025023026384624947,-0.29865142230174263,0.5244350833589134,0.3485814679964595,0.26335986294029873,0.511582944600874,0.09620347975354665,0.10572123434916633,,-0.08276560769198318,0.11306484467170025,,0.14440092635183296,0.7218725292960831,-0.09347961878690018,0.033819283456574936,0.031050816440317906,0.12551573675650307,0.4492619308231422,0.327553113605613,0.37527267757252425,0.0030207557411354316,-0.09362331187283376,,0.06676931755058355,,,0.889691225938388,0.506900030966343,0.6535849711037407,,0.26335986294029873,0.1289496269192637,-0.1069961766572461,0.14606605627760497
tempo_index,0.13613772351608228,-0.43869344828488116,1.0,-0.15525820262464665,-0.10423939621607982,-0.07030100871647156,0.03799413695358298,-0.19402441522376218,-0.018000681862801626,0.04377363216899171,-0.17929875873951834,-0.23255283555587078,-0.33899967362601485,,,,-0.257277703251727,-0.14558569386657713,0.013462805860754967,0.12067725730253986,0.07090391044408281,-0.09260733578829165,2.6819126189060478e-05,0.09693421004029616,-0.06980537605206187,0.09359563223862681,,,-0.0823308351206039,0.062152143963103396,-0.24384584961275893,0.1974636491193724,0.2524603374361225,-0.055060625534734085,-0.11106295342979051,0.06574679697742142,-0.28908350078305434,-0.021917688532721264,-0.12851842097313376,,0.06065632497906716,-0.09241476591464666,,-0.015666171590629094,-0.10128442994959232,-0.2048729103056459,-0.023439971372358356,0.02834862170149365,-0.03794304908906534,-0.0875001745441562,-0.08076599190779692,-0.03133455712024272,-0.03917490768856592,0.010987063820428187,,-0.03908948858492464,,,-0.26886371063581554,-0.08735124929593738,-0.17157569093470493,,0.06574679697742142,-0.12435114734929606,0.02116840066845774,-0.01963720892241711
turnovers,0.09774723220699366,0.04597186852233201,-0.15525820262464665,1.0,-0.1642741560702173,-0.30686579573644424,-0.24197522170445157,0.26571762899708334,0.22511677755535328,0.1495355220435774,0.15119058791652357,0.33065171634050927,0.41993207171949776,,,,0.5544731864473538,0.5200097041797674,-0.4170049815448274,-0.22188093092640573,0.10548033496660869,-0.20289446696111826,0.09305442326566364,-0.122742966607979,-0.07624618701396332,0.08298373004288309,,,-0.13690308765380332,0.08507041955948341,0.5276899339593,-0.1332269486431119,0.11932218930324281,-0.1608362647112173,0.48213563897287925,-0.5146543186325298,0.33579609228703805,0.0856980767372436,0.3225880779137421,,0.02089290460997692,0.35769560417835705,,0.22378284618217414,0.24356107365518387,0.2284965844234338,0.11504417413385852,-0.20916193836346364,0.1947552329119391,0.15493516356828127,0.3171659798468439,-0.1785916076019316,-0.19479028148891314,-0.08657756688860455,,-0.06761499632479771,,,0.25396434634730286,-0.09508385020785422,0.20753498826643366,,-0.5146543186325298,0.311377264017731,0.14499284703764012,0.08100451127691595
passes_attempted,0.6339751587042262,0.886886650522001,-0.10423939621607982,-0.1642741560702173,1.0,0.42362429041780375,0.7883302830524517,0.5935231872335615,0.1626683051177612,-0.17330651605692657,0.8755082444425117,0.2360243670807971,0.4534708630602402,,,,0.18746252702206842,-0.17531804451174424,0.3713101681158893,-0.057619992544761335,0.3122891722838301,0.18867338382248755,0.06557085174124733,0.07303439152458455,0.07382435715280145,-0.0507913542758676,,,0.11228704923000438,0.09223195324372574,-0.2833437022757493,0.10397792268767432,-0.21585149617185193,0.591114678999,0.22251186000003914,0.39464386297182075,0.3622127231218523,0.08186321810833008,-0.03900475451482312,,-0.05757027287871939,0.003210869402447167,,0.07589668020377287,0.7196815916658145,-0.2775912743385368,-0.01449784657972214,0.1010420852150624,0.1299468870324906,0.37571603692033,0.24171106135212173,0.4542477853827814,0.07384861566542483,-0.05456313007749572,,0.03120060909437516,,,0.8248471905598594,0.5493598022086461,0.6000664029652272,,0.39464386297182075,-0.010443431144307475,-0.11207903417224307,0.17593579327227754
pass_completion_rate,0.1343258170889489,0.3048324288303731,-0.07030100871647156,-0.30686579573644424,0.42362429041780375,1.0,0.2798644953501093,-0.09675044708664111,-0.056032750780330196,-0.2280033167836083,0.23762992703077912,-0.14802900054382956,-0.08794128586922045,,,,-0.28789808204288386,-0.5000542320089171,0.07283779640546516,0.0963429321229508,0.0873586528504818,0.16806235736050987,0.09865980004198882,0.01512452395837102,0.15134972140624472,-0.029938146180388023,,,0.12940574936840354,0.0993605757383138,-0.45364045378966145,0.07626875080037597,-0.03848181942149545,0.3424761978783543,-0.16447094467771878,0.1041255900291615,-0.16934640119495747,-0.031703718086576495,-0.3886692379638466,,-0.06238485712895389,-0.07660228496165891,,-0.03334529210398818,0.16804201754209222,0.026386693141252335,-0.0669846366419517,0.2906418371402316,-0.009360687023677771,0.0009570700682876704,-0.4249620104537017,0.11016269246768835,0.4647967560115019,0.15424702276820976,,-0.040842262102662834,,,0.14650545089510658,0.26232521881215803,0.10227158375074029,,0.1041255900291615,-0.3156932896605367,-0.14380315252710318,-0.16142316820141436
progressive_passes,0.5072584764739733,0.6223881112105356,0.03799413695358298,-0.24197522170445157,0.7883302830524517,0.2798644953501093,1.0,0.44440841504210643,0.05951098292458927,-0.13116436740925866,0.6350729493187529,0.19238411774363046,0.2602857226764867,,,,-0.02351971661703327,-0.2944308327082978,0.2950502792724805,0.005666076733363665,0.25968402546384617,0.2679615788152456,0.012604495803857908,0.14391885317852768,0.07655919945524438,-0.027494140913709553,,,0.0939897383688129,0.12432534491287288,-0.407119905717054,0.1742477513390905,-0.1890647257187728,0.5619196192927554,0.08398811776272154,0.34147482902552223,0.22740738440133426,-0.014916754227812754,-0.09880873218905968,,-0.07096894324104915,-0.08218216791637924,,0.057401909217387435,0.5850471144298012,-0.26316432383356336,-0.07830584085277494,0.11753101489749111,0.0548102011002729,0.31992632807585114,0.20311816905601343,0.5248606249213998,0.022992002624018196,-0.00027766502947218665,,0.005596412728629367,,,0.5444898877827528,0.4867247778627727,0.3301446948781519,,0.34147482902552223,-0.08593772208470722,-0.06484604487379984,0.11951136463852531
final_third_entries_by_pass,0.37630622495313476,0.6941080488464145,-0.19402441522376218,0.26571762899708334,0.5935231872335615,-0.09675044708664111,0.44440841504210643,1.0,0.38279869712619574,-0.03789454776840228,0.7528082098951947,0.4634651567144916,0.7153113602490393,,,,0.8047843164699682,0.34150619634685353,0.15881122568184666,-0.3264119665955238,0.23095984898712707,-0.01703875298914967,-0.04713082788505343,-0.08497493767431447,-0.21488216797534035,0.015478435331486871,,,-0.054889166319749584,-0.007642747038254768,0.46704051867751684,-0.014870321532130013,-0.17148123288625075,0.1578636568670912,0.4273744743928015,0.11090742777883254,0.5682858936065047,0.09574025697390309,0.40664613111659526,,-0.10789673290792891,0.17022396125687533,,0.1842019766910348,0.6236515370572947,-0.09965554589723966,-0.028121742846627586,-0.20755350728354358,0.057868771073745544,0.5984455368375705,0.7710864332376586,0.2806652411764102,-0.3750101597870255,-0.24792049849873116,,0.13005891526418092,,,0.7986614652777577,0.20474320449527544,0.6570738339485717,,0.11090742777883254,0.3863254926307042,0.0229289105873503,0.31046138866470474
key_passes,0.23715370842233127,0.182244363488792,-0.018000681862801626,0.22511677755535328,0.1626683051177612,-0.056032750780330196,0.05951098292458927,0.38279869712619574,1.0,-0.0979811631877315,0.2378212380738708,0.17874206810546975,0.30430476740963924,,,,0.3291128067942785,0.254655730127941,0.016518871656703706,-0.08518249477688676,0.16720767129892178,0.0031152164254269303,-0.04058487107588549,-0.06864477225199976,-0.08647635345424728,0.1147664361844051,,,-0.08605899146028574,-0.07970341884404217,0.23082548963203822,0.0331164874406288,0.05785801701386646,-0.0172799071016545,0.14949968856077742,-0.012556754392889669,0.2116386668745497,0.057882474936366536,0.44324823608341896,,0.02601438054143201,0.16062371023624103,,0.10099373941099517,0.2163126178321887,-0.0856641400639303,0.07853692056874119,-0.12007908807708244,0.14232231237692783,0.2515023217193306,0.48159557220118276,0.025101699350760405,-0.2949434239532526,-0.14490850288121582,,0.030013135152190073,,,0.29965618053290943,0.02959785017616468,0.2799549924969205,,-0.012556754392889669,0.46831179035237275,0.5894651030629363,0.36870090863751565
under_pressure_pass_share,0.003809867234197597,-0.14064210505604952,0.04377363216899171,0.1495355220435774,-0.17330651605692657,-0.2280033167836083,-0.13116436740925866,-0.03789454776840228,-0.0979811631877315,1.0,-0.05400892332632244,0.15567008101886987,0.09683735810364837,,,,0.13503538223420328,0.1186613618485502,0.08138468378564086,-0.009046238966309465,-0.12261169734030354,-0.1459504393311493,-0.04142889060061048,-0.007414953689937256,0.1095080988820217,0.013017257958278291,,,-0.027317187248312027,0.058288242607085976,0.11200183062939523,-0.03933331577725267,-0.09488015496279002,-0.08114677260494431,0.6246385037270513,0.0594699711460443,0.01705778033178238,-0.05255075360181529,0.07093520781237816,,-0.039236185002924605,0.1599324222466299,,0.093626651948944,0.06657593260459377,0.1894861856857167,0.06112327834926579,-0.08223570266041974,-0.04658854019449519,0.10374665198989952,0.06012182040057444,-0.18415937707334046,-0.12266077669231246,-0.010988492231105934,,0.02409785938646773,,,-0.02480492060915699,-0.06674584338952007,0.038393334884076584,,0.0594699711460443,0.05488458140837664,-0.06888902498959304,-0.0838220265573911
