,count,mean,std,min,25%,50%,75%,max,range
possessions_involved,195.0,58.31794871794872,12.336411444052287,20.0,50.5,60.0,67.5,89.0,69.0
possession_time_seconds,195.0,352.62948717948717,148.24624780892898,53.94,261.595,332.77,416.335,879.55,825.6099999999999
tempo_index,195.0,21.54676923076923,3.5697733508400735,13.75,19.325,21.35,22.97,43.38,29.630000000000003
turnovers,195.0,2.712820512820513,2.6024551737802937,0.0,1.0,2.0,4.0,12.0,12.0
passes_attempted,195.0,63.16923076923077,23.626323710760552,14.0,47.0,63.0,78.0,132.0,118.0
pass_completion_rate,195.0,0.8598461538461539,0.07938213023792087,0.58,0.82,0.88,0.92,1.0,0.42000000000000004
progressive_passes,195.0,15.158974358974358,8.841115231138376,0.0,8.0,15.0,21.5,41.0,41.0
final_third_entries_by_pass,195.0,25.933333333333334,13.73987599797984,3.0,14.0,24.0,33.0,68.0,65.0
key_passes,195.0,1.2307692307692308,1.3014967288206485,0.0,0.0,1.0,2.0,6.0,6.0
under_pressure_pass_share,192.0,0.16520833333333335,0.10494056324895881,0.02,0.09,0.14,0.22,0.57,0.5499999999999999
carries_attempted,195.0,59.61538461538461,22.05430900297561,15.0,46.0,58.0,75.5,119.0,104.0
progressive_carries,195.0,5.005128205128205,3.5179912202486747,0.0,2.0,4.0,7.5,15.0,15.0
carry_distance_total,195.0,316.5808717948718,158.82808767920739,38.02,191.055,295.76,419.93,790.37,752.35
successful_dribbles,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carries_leading_to_shot,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carries_leading_to_key_pass,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
final_third_carries,195.0,22.71794871794872,15.796953767985526,0.0,10.0,19.0,32.0,78.0,78.0
penalty_area_carries,195.0,2.528205128205128,2.927469326694381,0.0,0.0,2.0,4.0,16.0,16.0
pressured_carry_success_rate,195.0,0.941076923076923,0.08668207837917377,0.43,0.91,0.96,1.0,1.0,0.5700000000000001
pressures_applied,195.0,12.066666666666666,5.858350869834389,1.0,8.0,11.0,16.5,37.0,36.0
ball_recoveries,195.0,4.21025641025641,2.2866482552402396,0.0,3.0,4.0,6.0,11.0,11.0
interceptions,195.0,0.49743589743589745,0.7823725414085622,0.0,0.0,0.0,1.0,5.0,5.0
tackles_won,195.0,0.49743589743589745,0.720640887263173,0.0,0.0,0.0,1.0,3.0,3.0
press_to_interception_chain,195.0,0.26153846153846155,0.5059518867021001,0.0,0.0,0.0,0.0,2.0,2.0
counterpress_actions,195.0,6.046153846153846,3.6216592251645743,0.0,4.0,5.0,8.0,22.0,22.0
pressure_to_self_recovery,195.0,0.09743589743589744,0.2973137288184099,0.0,0.0,0.0,0.0,1.0,1.0
blocked_passes,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blocked_shots,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clearance_followed_by_recovery,195.0,0.06666666666666667,0.3221491405056397,0.0,0.0,0.0,0.0,3.0,3.0
pressures_to_turnover_rate,195.0,0.10774358974358973,0.12464810632226922,0.0,0.0,0.1,0.17,1.0,1.0
average_position_x,195.0,71.60400000000001,10.19676800422363,44.5,64.46000000000001,71.58,79.825,92.38,47.879999999999995
average_position_y,195.0,38.53784615384616,14.02686172941793,14.1,24.12,40.55,50.66,62.95,48.85
width_variance,195.0,267.3211794871795,101.52634406050659,103.68,196.695,248.97,316.495,771.23,667.55
zone_entries,195.0,31.29230769230769,23.184417365218202,1.0,16.5,25.0,42.0,184.0,183.0
pressured_touches,195.0,50.98974358974359,26.610204566055423,10.0,30.0,45.0,67.0,138.0,128.0
pressured_touch_retention_rate,195.0,0.958,0.05677410474038463,0.63,0.935,0.97,1.0,1.0,0.37
third_man_runs,195.0,9.374358974358975,5.149152565084317,2.0,6.0,8.0,12.0,33.0,31.0
wall_pass_events,195.0,0.020512820512820513,0.14211126608467492,0.0,0.0,0.0,0.0,1.0,1.0
shot_creating_actions,195.0,3.2205128205128206,2.9493297759681107,0.0,1.0,3.0,5.0,12.0,12.0
expected_threat_added,0.0,,,,,,,,
fouls_committed,195.0,0.9128205128205128,1.0540005984024512,0.0,0.0,1.0,1.0,5.0,5.0
fouls_suffered,195.0,2.4461538461538463,1.9213727579984134,0.0,1.0,2.0,4.0,11.0,11.0
tactical_fouls,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
advantage_fouls_won,195.0,0.6358974358974359,0.9170456765786184,0.0,0.0,0.0,1.0,4.0,4.0
set_piece_involvements,195.0,110.56923076923077,37.5046262015586,31.0,84.5,111.0,133.5,213.0,182.0
corner_delivery_accuracy,60.0,0.7446666666666667,0.2620484278355309,0.2,0.5,0.75,1.0,1.0,0.8
set_piece_duels_won,195.0,0.1282051282051282,0.36464127121679035,0.0,0.0,0.0,0.0,2.0,2.0
defensive_set_piece_clearances,195.0,0.6512820512820513,1.0655988575405133,0.0,0.0,0.0,1.0,7.0,7.0
line_breaking_receipts,195.0,3.887179487179487,2.5901458271229867,0.0,2.0,4.0,5.0,13.0,13.0
zone14_touches,195.0,16.671794871794873,16.972232457660976,0.0,6.0,11.0,19.0,109.0,109.0
penalty_area_deliveries,195.0,5.302564102564102,4.115064553331598,0.0,2.0,4.0,8.0,20.0,20.0
switches_completed,195.0,1.8358974358974358,1.9540451275649706,0.0,0.0,1.0,3.0,13.0,13.0
cross_accuracy,50.0,0.7412000000000001,0.3018963195454725,0.12,0.5,1.0,1.0,1.0,0.88
aerial_duels_contested,195.0,1.0512820512820513,1.238321068835358,0.0,0.0,1.0,2.0,6.0,6.0
aerial_duel_win_rate,0.0,,,,,,,,
fifty_fiftys_won,195.0,0.020512820512820513,0.14211126608467492,0.0,0.0,0.0,0.0,1.0,1.0
sliding_tackles,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sliding_tackle_success_rate,0.0,,,,,,,,
ball_receipts_total,195.0,66.6974358974359,21.869004181876967,18.0,52.5,65.0,79.0,120.0,102.0
central_lane_receipts,195.0,9.851282051282052,7.318486400426859,0.0,5.0,8.0,13.0,61.0,61.0
one_touch_passes,195.0,19.425641025641024,9.150987720581082,2.0,14.0,18.0,24.5,54.0,52.0
weak_foot_pass_share,0.0,,,,,,,,
pressured_retention_rate,195.0,0.958,0.05677410474038463,0.63,0.935,0.97,1.0,1.0,0.37
secondary_shot_assists,195.0,1.5743589743589743,1.5658596579551163,0.0,0.0,1.0,3.0,6.0,6.0
expected_assists,116.0,0.1652586206896552,0.14289224402779305,0.01,0.05,0.125,0.24,0.63,0.62
xg_chain,195.0,1.1504615384615384,0.7175504524865136,0.06,0.585,1.02,1.5,3.42,3.36
