match_id,Midfielders,Total_Passes,Total_Carries,Total_Pressures,Total_Recoveries,Avg_Possessions,Avg_Possession_Time
18242,5,294.0,283.0,66.0,24.0,58.6,310.11
70264,5,347.0,329.0,46.0,28.0,65.2,354.41
70273,5,292.0,279.0,79.0,22.0,65.2,258.81
70303,5,304.0,310.0,83.0,26.0,63.4,320.85
265835,5,375.0,345.0,77.0,21.0,70.2,387.68
265866,5,323.0,328.0,52.0,14.0,54.6,364.27
265896,5,296.0,281.0,42.0,17.0,55.0,347.21
265963,5,325.0,294.0,34.0,18.0,48.2,400.96
266045,5,256.0,252.0,73.0,26.0,58.2,308.24
266117,5,264.0,243.0,56.0,18.0,52.0,287.54
266142,5,356.0,318.0,67.0,20.0,63.4,360.31
266148,5,308.0,315.0,55.0,25.0,60.8,345.14
266230,5,312.0,302.0,72.0,22.0,58.2,372.2
266240,5,298.0,269.0,54.0,22.0,56.2,338.86
266320,5,470.0,477.0,41.0,27.0,57.4,596.18
266406,5,300.0,284.0,64.0,22.0,55.4,333.92
266525,5,346.0,347.0,67.0,20.0,63.8,413.4
266531,5,363.0,359.0,63.0,22.0,61.6,356.24
266560,5,373.0,364.0,77.0,17.0,68.8,386.18
266631,5,334.0,343.0,45.0,14.0,56.4,375.74
266741,5,334.0,263.0,27.0,16.0,50.8,360.28
266770,5,334.0,268.0,43.0,19.0,62.2,327.18
266794,5,320.0,319.0,63.0,19.0,55.4,377.63
266838,5,255.0,254.0,63.0,26.0,55.4,256.61
266846,5,415.0,413.0,57.0,23.0,62.8,473.83
266871,5,395.0,306.0,39.0,17.0,62.2,414.97
266916,5,221.0,184.0,62.0,20.0,57.2,200.73
266921,5,359.0,348.0,25.0,20.0,52.4,415.89
266929,5,260.0,222.0,98.0,13.0,61.0,267.89
266967,5,357.0,331.0,42.0,23.0,56.8,425.84
267085,5,252.0,194.0,60.0,9.0,50.4,273.43
267183,5,246.0,236.0,110.0,26.0,57.4,302.17
267197,5,520.0,510.0,52.0,25.0,57.4,783.08
267301,5,230.0,232.0,70.0,26.0,62.4,235.25
267343,5,231.0,214.0,68.0,24.0,53.2,250.71
267400,5,347.0,341.0,45.0,28.0,57.4,420.27
267499,5,164.0,151.0,62.0,13.0,40.8,178.06
267561,5,218.0,200.0,93.0,21.0,61.4,207.95
267597,5,324.0,317.0,61.0,28.0,65.2,362.53
