player_name,Matches,Avg_Passes,Avg_Pass_Comp_Rate,Avg_Carries,Avg_Pressures,Avg_Recoveries,Avg_Possessions,Avg_Possession_Time,Avg_Prog_Passes,Avg_Prog_Carries
Neymar da Silva Santos Junior,30,52.4,0.8,60.5,11.9,4.13,60.17,362.85,6.9,6.67
Sergio Busquets i Burgos,30,73.03,0.92,58.6,17.03,4.0,65.1,363.52,20.0,2.2
Lionel Andrés Messi Cuccittini,25,68.2,0.81,76.24,7.92,4.32,61.28,407.92,19.2,8.56
Ivan Rakitić,24,71.5,0.86,57.67,12.33,4.92,59.67,352.93,17.71,2.04
Andrés Iniesta Luján,20,68.0,0.88,66.05,12.15,4.65,56.85,368.99,21.35,7.1
Xavier Hernández Creus,19,80.84,0.89,67.11,9.89,4.42,59.95,425.9,21.21,5.42
Pedro Eliezer Rodríguez Ledesma,13,36.77,0.82,37.92,10.23,3.46,47.62,203.61,4.15,4.38
Rafael Alcântara do Nascimento,13,53.77,0.92,55.62,13.31,4.85,52.54,318.04,7.77,5.08
Javier Alejandro Mascherano,8,65.62,0.88,52.75,15.75,3.12,59.0,360.52,20.88,5.0
Munir El Haddadi Mohamed,7,20.57,0.77,24.0,9.14,2.43,37.86,128.76,2.43,1.57
Sergi Roberto Carnicer,4,78.0,0.95,68.25,11.75,5.0,54.75,457.91,16.0,5.0
Luis Alberto Suárez Díaz,2,40.0,0.82,43.5,8.5,2.0,58.0,216.42,5.5,4.0
