Season,Team ID,Team Name,Total Matches,Competitions,Number of Competitions
2015/2016,220,Real Madrid,39,"Champions League, La Liga",2
2014/2015,217,Barcelona,39,"Champions League, La Liga",2
2015/2016,212,Atlético Madrid,39,"Champions League, La Liga",2
2015/2016,143,Lille,38,Ligue 1,1
2015/2016,239,Fiorentina,38,Serie A,1
2015/2016,145,Angers,38,Ligue 1,1
2015/2016,36,Manchester City,38,Premier League,1
2015/2016,142,Guingamp,38,Ligue 1,1
2015/2016,129,AS Monaco,38,Ligue 1,1
2015/2016,137,Lyon,38,Ligue 1,1
